"OBJECTID";"country";"wardcode";"wardname";"designated";"status";"survyear";"percancov";"standerr";"numpts";"warea"
98;"England";"E05000172";"Dormers Wells";"Urban";"Completed";0;22.4;0.0;0;2258310.0
99;"England";"E05000173";"Ealing Broadway";"Urban";"Completed";0;12.5;0.0;0;1857560.0
100;"England";"E05000174";"Ealing Common";"Urban";"Completed";0;16.3;0.0;0;2141970.0
101;"England";"E05000175";"East Acton";"Urban";"Completed";0;13.2;0.0;0;4277720.0
102;"England";"E05000176";"Elthorne";"Urban";"Completed";0;21.2;0.0;0;2000540.0
103;"England";"E05000177";"Greenford Broadway";"Urban";"Completed";0;17.6;0.0;0;2517860.0
104;"England";"E05000178";"Greenford Green";"Urban";"Completed";0;14.0;0.0;0;3386340.0
105;"England";"E05000179";"Hanger Hill";"Urban";"Completed";0;22.8;0.0;0;3278600.0
106;"England";"E05000180";"Hobbayne";"Urban";"Completed";0;23.0;0.0;0;2210350.0
107;"England";"E05000181";"Lady Margaret";"Urban";"Completed";0;8.3;0.0;0;1542540.0
108;"England";"E05000182";"Northfield";"Urban";"Completed";0;15.0;0.0;0;1540780.0
109;"England";"E05000183";"North Greenford";"Urban";"Completed";0;25.9;0.0;0;3258930.0
110;"England";"E05000184";"Northolt Mandeville";"Urban";"Completed";0;21.8;0.0;0;2757960.0
111;"England";"E05000185";"Northolt West End";"Urban";"Completed";0;16.2;0.0;0;3547040.0
112;"England";"E05000186";"Norwood Green";"Urban";"Completed";0;15.8;0.0;0;3797900.0
113;"England";"E05000187";"Perivale";"Urban";"Completed";0;15.6;0.0;0;3369190.0
114;"England";"E05000188";"South Acton";"Urban";"Completed";0;16.0;0.0;0;1719950.0
115;"England";"E05000189";"Southall Broadway";"Urban";"Completed";0;10.3;0.0;0;1617970.0
116;"England";"E05000190";"Southall Green";"Urban";"Completed";0;6.4;0.0;0;1586930.0
117;"England";"E05000191";"Southfield";"Urban";"Completed";0;14.4;0.0;0;1429280.0
118;"England";"E05000192";"Walpole";"Urban";"Completed";0;20.0;0.0;0;1466600.0
119;"England";"E05000193";"Bowes";"Urban";"Completed";2018;19.7;1.77;500;1483830.0
120;"England";"E05000194";"Bush Hill Park";"Urban";"Completed";2020;20.0;2.31;300;2525300.0
121;"England";"E05000197";"Edmonton Green";"Urban";"Completed";2020;13.0;1.94;300;3127460.0
122;"England";"E05000198";"Enfield Highway";"Urban";"Completed";2021;8.33;1.6;300;4638020.0
123;"England";"E05000199";"Enfield Lock";"Urban";"Completed";2021;12.0;1.88;300;3253280.0
124;"England";"E05000200";"Grange";"Urban";"Completed";2020;21.7;2.38;399;3286210.0
125;"England";"E05000201";"Haselbury";"Urban";"Completed";2020;8.33;1.6;300;1796570.0
126;"England";"E05000202";"Highlands";"Urban";"Completed";2020;19.3;2.28;300;5089770.0
127;"England";"E05000203";"Jubilee";"Urban";"Completed";2021;7.0;1.47;300;3929560.0
128;"England";"E05000204";"Lower Edmonton";"Urban";"Completed";2021;8.0;1.57;300;2183190.0
129;"England";"E05000205";"Palmers Green";"Urban";"Completed";2019;10.0;1.73;300;1942740.0
130;"England";"E05000206";"Ponders End";"Urban";"Completed";2021;5.0;1.26;300;3544060.0
131;"England";"E05000207";"Southbury";"Urban";"Completed";2021;9.67;1.71;300;2867930.0
132;"England";"E05000208";"Southgate";"Urban";"Completed";2021;18.0;1.92;400;2688120.0
133;"England";"E05000209";"Southgate Green";"Urban";"Completed";2019;17.7;2.2;300;2614350.0
134;"England";"E05000210";"Town";"Urban";"Completed";2021;14.33;2.02;300;2232060.0
135;"England";"E05000211";"Turkey Street";"Urban";"Completed";2021;18.67;2.25;300;2262140.0
136;"England";"E05000212";"Upper Edmonton";"Urban";"Completed";2019;9.33;1.68;300;2643270.0
137;"England";"E05000213";"Winchmore Hill";"Urban";"Completed";2020;26.7;2.55;300;2761530.0
138;"England";"E05000214";"Abbey Wood";"Urban";"Completed";2020;13.22;2.71;301;2657830.0
139;"England";"E05000215";"Blackheath Westcombe";"Urban";"Completed";2020;23.33;2.44;300;2138720.0
140;"England";"E05000216";"Charlton";"Urban";"Completed";2020;20.0;2.31;300;2031780.0
141;"England";"E05000217";"Coldharbour and New Eltham";"Urban";"Completed";2020;14.0;2.0;300;2549940.0
142;"England";"E05000218";"Eltham North";"Urban";"Completed";2020;22.74;2.42;299;2555790.0
143;"England";"E05000219";"Eltham South";"Urban";"Completed";2020;21.67;2.38;300;4627560.0
144;"England";"E05000220";"Eltham West";"Urban";"Completed";2020;11.0;1.81;300;2426310.0
145;"England";"E05000221";"Glyndon";"Urban";"Completed";2020;14.61;2.01;308;1548160.0
146;"England";"E05000222";"Greenwich West";"Urban";"Completed";2020;21.17;2.33;307;2528760.0
147;"England";"E05000223";"Kidbrooke with Hornfair";"Urban";"Completed";2020;17.33;2.19;300;2375210.0
148;"England";"E05000224";"Middle Park and Sutcliffe";"Urban";"Completed";2020;15.67;2.1;300;3292340.0
149;"England";"E05000225";"Peninsula";"Urban";"Completed";2020;5.67;1.33;300;3420290.0
150;"England";"E05000226";"Plumstead";"Urban";"Completed";2020;18.63;2.23;306;2342470.0
151;"England";"E05000227";"Shooters Hill";"Urban";"Completed";2020;42.33;2.85;300;3771640.0
152;"England";"E05000228";"Thamesmead Moorings";"Urban";"Completed";2020;12.0;1.88;300;3919910.0
153;"England";"E05000229";"Woolwich Common";"Urban";"Completed";2020;15.0;2.06;300;2621070.0
154;"England";"E05000230";"Woolwich Riverside";"Urban";"Completed";2020;12.75;1.91;306;2538580.0
155;"England";"E05000250";"Addison";"Urban";"Completed";2019;10.3;1.76;300;555048.0
156;"England";"E05000251";"Askew";"Urban";"Completed";2019;11.7;1.85;300;762813.0
157;"England";"E05000252";"Avonmore and Brook Green";"Urban";"Completed";2020;20.94;1.97;425;896963.0
158;"England";"E05000253";"College Park and Old Oak";"Urban";"Completed";2019;11.7;1.85;300;3438020.0
159;"England";"E05000254";"Fulham Broadway";"Urban";"Completed";2020;9.71;1.58;350;668224.0
160;"England";"E05000255";"Fulham Reach";"Urban";"Completed";2020;14.57;1.89;350;823036.0
161;"England";"E05000256";"Hammersmith Broadway";"Urban";"Completed";2019;9.33;1.68;300;1048620.0
162;"England";"E05000257";"Munster";"Urban";"Completed";2020;12.0;1.74;350;624523.0
163;"England";"E05000258";"North End";"Urban";"Completed";2020;9.71;1.58;300;635414.0
164;"England";"E05000259";"Palace Riverside";"Urban";"Completed";2020;24.4;1.92;500;1138080.0
165;"England";"E05000260";"Parsons Green and Walham";"Urban";"Completed";2020;14.0;1.73;400;896191.0
166;"England";"E05000261";"Ravenscourt Park";"Urban";"Completed";2019;20.2;1.8;501;1152630.0
167;"England";"E05000262";"Sands End";"Urban";"Completed";2020;8.67;1.33;450;1142570.0
168;"England";"E05000263";"Shepherds Bush Green";"Urban";"Completed";2019;11.3;1.83;300;1068610.0
169;"England";"E05000264";"Town";"Urban";"Completed";2020;11.14;1.68;350;651574.0
170;"England";"E05000265";"Wormholt and White City";"Urban";"Completed";2019;16.7;2.15;300;901997.0
171;"England";"E05000266";"Alexandra";"Urban";"Completed";2018;23.0;2.43;300;2614740.0
172;"England";"E05000267";"Bounds Green";"Urban";"Completed";2018;14.3;2.02;300;1386640.0
173;"England";"E05000268";"Bruce Grove";"Urban";"Completed";2019;7.67;1.54;300;936855.0
174;"England";"E05000269";"Crouch End";"Urban";"Completed";2018;22.7;2.42;300;1440870.0
175;"England";"E05000270";"Fortis Green";"Urban";"Completed";2018;23.3;2.44;300;1991430.0
176;"England";"E05000271";"Harringay";"Urban";"Completed";2019;13.3;1.96;300;1566570.0
177;"England";"E05000272";"Highgate";"Urban";"Completed";2018;36.0;2.77;300;2495750.0
178;"England";"E05000273";"Hornsey";"Urban";"Completed";2018;9.0;1.65;300;1054260.0
179;"England";"E05000274";"Muswell Hill";"Urban";"Completed";2018;22.0;2.39;300;1653810.0
180;"England";"E05000275";"Noel Park";"Urban";"Completed";2018;10.3;1.76;300;1225980.0
181;"England";"E05000276";"Northumberland Park";"Urban";"Completed";2019;12.7;1.92;300;1888610.0
182;"England";"E05000277";"St Anns";"Urban";"Completed";2019;13.7;1.98;300;1094140.0
183;"England";"E05000278";"Seven Sisters";"Urban";"Completed";2019;12.6;1.92;300;1295040.0
184;"England";"E05000279";"Stroud Green";"Urban";"Completed";2018;19.0;2.26;300;1094080.0
185;"England";"E05000280";"Tottenham Green";"Urban";"Completed";2019;12.3;1.9;300;1360060.0
186;"England";"E05000281";"Tottenham Hale";"Urban";"Completed";2019;14.7;2.04;300;1912460.0
187;"England";"E05000282";"West Green";"Urban";"Completed";2019;14.7;2.04;300;1399560.0
188;"England";"E05000283";"White Hart Lane";"Urban";"Completed";2019;10.3;1.76;300;1699350.0
189;"England";"E05000284";"Woodside";"Urban";"Completed";2018;12.0;1.88;300;1497630.0
190;"England";"E05000285";"Belmont";"Urban";"Completed";2020;12.0;1.74;350;1777830.0
191;"England";"E05000286";"Canons";"Urban";"Completed";2020;30.36;1.96;550;5628830.0
192;"England";"E05000287";"Edgware";"Urban";"Completed";2020;12.0;1.88;300;1403780.0
193;"England";"E05000288";"Greenhill";"Urban";"Completed";2021;13.71;1.84;350;1745660.0
194;"England";"E05000289";"Harrow on the Hill";"Urban";"Completed";2019;26.7;2.55;300;3573670.0
195;"England";"E05000290";"Harrow Weald";"Urban";"Completed";2021;24.05;1.91;499;4591910.0
196;"England";"E05000291";"Hatch End";"Urban";"Completed";2021;13.71;1.84;350;3280280.0
197;"England";"E05000292";"Headstone North";"Urban";"Completed";2021;14.75;1.77;400;3297940.0
198;"England";"E05000293";"Headstone South";"Urban";"Completed";2021;9.71;1.58;350;1468330.0
199;"England";"E05000294";"Kenton East";"Urban";"Completed";2020;12.86;1.79;350;1279850.0
200;"England";"E05000295";"Kenton West";"Urban";"Completed";2021;14.0;1.85;350;1765380.0
201;"England";"E05000296";"Marlborough";"Urban";"Completed";2021;12.29;1.75;350;1647380.0
202;"England";"E05000297";"Pinner";"Urban";"Completed";2021;23.78;2.0;450;3279030.0
203;"England";"E05000298";"Pinner South";"Urban";"Completed";2021;19.5;1.98;400;2346770.0
204;"England";"E05000299";"Queensbury";"Urban";"Completed";2020;7.43;1.4;350;1614320.0
205;"England";"E05000300";"Rayners Lane";"Urban";"Completed";2021;14.86;1.9;350;1530490.0
206;"England";"E05000301";"Roxbourne";"Urban";"Completed";2021;10.29;1.62;350;1506470.0
207;"England";"E05000302";"Roxeth";"Urban";"Completed";2019;12.0;1.88;300;1575660.0
208;"England";"E05000303";"Stanmore Park";"Urban";"Completed";2021;31.61;1.98;550;4461340.0
209;"England";"E05000304";"Wealdstone";"Urban";"Completed";2021;10.0;1.73;300;1196550.0
210;"England";"E05000305";"West Harrow";"Urban";"Completed";2021;12.0;1.74;350;1515370.0
211;"England";"E05000306";"Brooklands";"Urban";"Completed";2020;8.0;1.57;300;4203520.0
212;"England";"E05000307";"Cranham";"Urban";"Completed";2020;25.33;2.51;300;6556190.0
213;"England";"E05000308";"Elm Park";"Urban";"Completed";2020;16.0;2.12;300;3665990.0
214;"England";"E05000309";"Emerson Park";"Urban";"Completed";2020;18.67;2.25;300;4643260.0
215;"England";"E05000310";"Gooshays";"Urban";"Completed";2020;20.0;2.31;300;7760400.0
216;"England";"E05000311";"Hacton";"Urban";"Completed";2020;10.67;1.78;300;2465840.0
217;"England";"E05000312";"Harold Wood";"Urban";"Completed";2020;24.0;2.47;300;7591150.0
218;"England";"E05000313";"Havering Park";"Urban";"Completed";2020;21.43;2.34;308;9785200.0
219;"England";"E05000314";"Heaton";"Urban";"Completed";2020;14.0;2.0;300;3416160.0
220;"England";"E05000315";"Hylands";"Urban";"Completed";2020;14.33;2.02;300;2898240.0
221;"England";"E05000316";"Mawneys";"Urban";"Completed";2020;8.67;1.62;300;3043310.0
222;"England";"E05000317";"Pettits";"Urban";"Completed";2020;12.04;1.88;299;3955280.0
223;"England";"E05000319";"Romford Town";"Urban";"Completed";2020;8.88;1.63;304;2865200.0
224;"England";"E05000320";"St Andrews";"Urban";"Completed";2020;5.33;1.3;300;2677560.0
225;"England";"E05000321";"South Hornchurch";"Urban";"Completed";2020;15.95;2.11;301;6309540.0
226;"England";"E05000322";"Squirrels Heath";"Urban";"Completed";2020;18.33;2.23;300;2651900.0
227;"England";"E05000324";"Barnhill";"Urban";"Completed";2019;11.0;1.81;300;2119220.0
228;"England";"E05000325";"Botwell";"Urban";"Completed";2019;13.0;1.94;300;4364770.0
229;"England";"E05000326";"Brunel";"Urban";"Completed";2021;16.29;1.97;350;3278350.0
230;"England";"E05000327";"Cavendish";"Urban";"Completed";2021;14.86;1.9;350;2012430.0
231;"England";"E05000328";"Charville";"Urban";"Completed";2019;15.0;2.06;300;2975730.0
232;"England";"E05000329";"Eastcote and East Ruislip";"Urban";"Completed";2021;31.27;1.98;550;4065450.0
233;"England";"E05000332";"Hillingdon East";"Urban";"Completed";2021;14.0;1.85;350;3599810.0
234;"England";"E05000333";"Ickenham";"Urban";"Completed";2021;18.6;1.82;457;6207380.0
235;"England";"E05000334";"Manor";"Urban";"Completed";2021;11.71;1.71;350;1975070.0
236;"England";"E05000335";"Northwood";"Urban";"Completed";2021;29.45;1.94;550;7401630.0
237;"England";"E05000336";"Northwood Hills";"Urban";"Completed";2021;22.89;1.98;450;3330220.0
238;"England";"E05000337";"Pinkwell";"Urban";"Completed";2021;9.3;1.68;300;2749610.0
239;"England";"E05000338";"South Ruislip";"Urban";"Completed";2019;6.67;1.44;300;7421370.0
240;"England";"E05000339";"Townfield";"Urban";"Completed";2019;15.3;2.08;300;3499950.0
241;"England";"E05000340";"Uxbridge North";"Urban";"Completed";2021;20.89;1.92;450;4643360.0
242;"England";"E05000341";"Uxbridge South";"Urban";"Completed";2021;16.0;1.96;350;3115970.0
243;"England";"E05000342";"West Drayton";"Urban";"Completed";2021;14.6;1.89;350;3492430.0
244;"England";"E05000343";"West Ruislip";"Urban";"Completed";2021;24.6;1.93;500;4389470.0
245;"England";"E05000344";"Yeading";"Urban";"Completed";2019;17.0;2.17;300;2322330.0
246;"England";"E05000345";"Yiewsley";"Urban";"Completed";2021;18.5;1.94;400;4024370.0
247;"England";"E05000346";"Bedfont";"Urban";"Completed";2021;10.37;1.76;299;4450530.0
248;"England";"E05000347";"Brentford";"Urban";"Completed";2019;17.3;2.19;300;3152300.0
249;"England";"E05000348";"Chiswick Homefields";"Urban";"Completed";2020;18.5;1.94;400;2037260.0
250;"England";"E05000349";"Chiswick Riverside";"Urban";"Completed";2020;26.4;1.97;500;1925070.0
251;"England";"E05000350";"Cranford";"Urban";"Completed";2021;16.86;2.0;350;2727580.0
252;"England";"E05000351";"Feltham North";"Urban";"Completed";2021;14.0;1.85;350;3386110.0
253;"England";"E05000352";"Feltham West";"Urban";"Completed";2021;16.0;2.12;300;3182440.0
254;"England";"E05000353";"Hanworth";"Urban";"Completed";2021;11.33;1.83;300;3233990.0
255;"England";"E05000354";"Hanworth Park";"Urban";"Completed";2021;19.0;1.96;400;3662740.0
256;"England";"E05000355";"Heston Central";"Urban";"Completed";2021;8.29;1.47;350;1685560.0
257;"England";"E05000356";"Heston East";"Urban";"Completed";2019;13.7;1.98;300;2060050.0
258;"England";"E05000357";"Heston West";"Urban";"Completed";2019;12.0;1.88;300;3828430.0
259;"England";"E05000358";"Hounslow Central";"Urban";"Completed";2019;7.0;1.47;300;1734720.0
260;"England";"E05000359";"Hounslow Heath";"Urban";"Completed";2020;24.16;1.76;592;2783020.0
261;"England";"E05000360";"Hounslow South";"Urban";"Completed";2019;10.3;1.76;300;1790900.0
262;"England";"E05000361";"Hounslow West";"Urban";"Completed";2021;9.71;1.58;350;1620890.0
263;"England";"E05000362";"Isleworth";"Urban";"Completed";2021;17.75;1.91;400;1967450.0
264;"England";"E05000363";"Osterley and Spring Grove";"Urban";"Completed";2019;17.1;1.67;510;6280730.0
265;"England";"E05000364";"Syon";"Urban";"Completed";2019;13.7;1.98;300;2723110.0
266;"England";"E05000365";"Turnham Green";"Urban";"Completed";2019;16.0;2.12;300;1770270.0
267;"England";"E05000366";"Barnsbury";"Urban";"Completed";2019;20.7;2.34;300;830396.0
268;"England";"E05000367";"Bunhill";"Urban";"Completed";2019;13.3;1.96;300;1083000.0
269;"England";"E05000368";"Caledonian";"Urban";"Completed";2019;11.7;1.85;300;1136540.0
270;"England";"E05000369";"Canonbury";"Urban";"Completed";2020;26.7;2.55;300;807492.0
271;"England";"E05000370";"Clerkenwell";"Urban";"Completed";2019;8.67;1.62;300;932962.0
272;"England";"E05000371";"Finsbury Park";"Urban";"Completed";2019;12.7;1.92;300;916573.0
273;"England";"E05000372";"Highbury East";"Urban";"Completed";2020;23.3;2.44;300;1008420.0
274;"England";"E05000373";"Highbury West";"Urban";"Completed";2019;19.3;2.28;300;1082910.0
275;"England";"E05000374";"Hillrise";"Urban";"Completed";2019;22.7;2.42;300;824975.0
276;"England";"E05000375";"Holloway";"Urban";"Completed";2019;17.0;2.17;300;1009060.0
277;"England";"E05000376";"Junction";"Urban";"Completed";2019;17.3;2.19;300;1027860.0
278;"England";"E05000377";"Mildmay";"Urban";"Completed";2020;22.9;2.42;300;827059.0
279;"England";"E05000378";"St Georges";"Urban";"Completed";2019;17.3;2.19;300;846135.0
280;"England";"E05000379";"St Marys";"Urban";"Completed";2019;20.0;2.31;300;868606.0
281;"England";"E05000380";"St Peters";"Urban";"Completed";2019;11.3;1.82;301;810799.0
282;"England";"E05000381";"Tollington";"Urban";"Completed";2019;20.3;2.32;300;848961.0
283;"England";"E05000400";"Alexandra";"Urban";"Completed";2021;21.79;1.98;436;2686180.0
284;"England";"E05000401";"Berrylands";"Urban";"Completed";2021;18.33;2.23;300;1454530.0
285;"England";"E05000402";"Beverley";"Urban";"Completed";2021;11.72;1.95;273;1879010.0
286;"England";"E05000403";"Canbury";"Urban";"Completed";2021;17.0;1.88;400;1242930.0
287;"England";"E05000404";"Chessington North and Hook";"Urban";"Completed";2022;10.28;1.91;253;1930580.0
288;"England";"E05000405";"Chessington South";"Urban";"Completed";2021;21.67;2.38;300;7554780.0
289;"England";"E05000406";"Coombe Hill";"Urban";"Completed";2021;34.33;1.99;568;4423470.0
290;"England";"E05000407";"Coombe Vale";"Urban";"Completed";2021;13.01;1.97;292;1647820.0
291;"England";"E05000408";"Grove";"Urban";"Completed";2021;10.67;1.78;300;1921220.0
